,TITLE,DESCRIPTION,LINK,INGREDIENTS,DIRECTIONS,MACROS
313,Grilled Brie and Pear Sandwich,"This grilled Brie and pear sandwich is dedicated to National Grilled Cheese Sandwich Day, which happens every April 12, thanks mostly to bored food bloggers and cheese-industry marketing cartels. I'm looking at you, Wisconsin.",https://www.allrecipes.com/recipe/237472/grilled-brie-and-pear-sandwich/,"2 tablespoons butter, softened,2 thick slices French bread,6 thin slices Brie cheese, or more to taste,12 fresh thyme leaves, or to taste,1 pinch cracked black pepper,6 slices pear (such as Bosc),salt to taste,","Directions
Generously butter one side of each slice of bread.
Heat a skillet over medium heat.
Place bread slices butter-side down into hot skillet. Arrange Brie cheese slices on top of each piece of bread. Sprinkle thyme and cracked black pepper over the top.
Spread pear slices in a single layer over the Brie cheese on one slice of bread and top with a pinch of salt.
Flip the slice of bread without pears onto the slice of bread with the pear slices. Continue cooking sandwich until cheese and pear are heated through and cheese is melted, 2 to 3 minutes per side. Transfer to a plate and cut into halves.
Chef John","670
Calories,41g
Fat,57g
Carbs,22g
Protein,"
314,Brie Cheese Appetizer,"A light, fluffy puff pastry is filled with melted Brie cheese and hot fruit preserves. If you do not want a sweet wheel, you may substitute herbed cheese spread for the preserves. Baking times are the same for the substitution.",https://www.allrecipes.com/recipe/15015/brie-cheese-appetizer/,"1 (8 ounce) wheel Brie cheese,3 tablespoons apricot preserves,½ (17.5 ounce) package frozen puff pastry, thawed,1 egg white,","Directions
Preheat oven to 350 degrees F (175 degrees C). Lightly grease a cookie sheet.
Slice one wheel of Brie cheese in half so you have 2 circles of cheese. Spread apricot or peach preserves on (the cut side) half of one circle of brie. Make sandwich out of the two halves of Brie, so that the preserves are in the center of both halves. Wrap the entire wheel of Brie with one sheet of puffed pastry and flip the entire concoction onto the prepared cooking sheet so the seam is on bottom. Brush the puffed pastry with the egg white.
Bake for 30 minutes, or until the pastry in golden brown. Serve immediately.","286
Calories,20g
Fat,19g
Carbs,9g
Protein,"
315,Peanut Butter Blossom Cookies,"Nostalgia alert! When was the last time you made these favorite childhood cookies? Don't know? Let's remedy that. Chocolate and peanut butter belong together, and these easy cookies prove it.",https://www.simplyrecipes.com/recipes/peanut_butter_blossoms/,"1 stick (1/2 cup) unsalted butter, at room temperature,1/2 cup (129 g) peanut butter,1/2 cup (100 g) granulated sugar, plus more for rolling,1/2 cup (110 g) packed brown sugar,1 large egg,1 1/2 cups (187 g) all purpose flour,1 teaspoon baking powder,1/2 teaspoon kosher salt,24 chocolate kiss candies, unwrapped,","Preheat the oven and prepare two baking sheets:
Preheat the oven to 350˚F, and line two baking sheets with parchment paper.
Mix the wet and dry ingredients separately:
Mix together the butter, peanut butter, and both sugars in a bowl with a wooden spoon (or you can use an electric or stand mixer) until smooth and combined; add in the egg and mix until smooth.
In a separate bowl, combine the flour, baking powder, and salt.
Aaron Hutcherson
Make the cookie dough:
Slowly, in a couple of additions, add the flour mixture to the peanut butter mixture and combine to form the cookie dough.
Shape the cookie:
Add a few tablespoons of sugar to a small bowl. Scoop into balls with about 1 1/2 tablespoons of dough. Roll between your hands to form a ball, and then coat it with sugar.
Place the balls on the prepared baking sheet a couple of inches apart.
Aaron Hutcherson
Bake the cookies:
Bake the cookies on the middle rack about 12 minutes, until slightly spread out, domed on the top, and golden on the bottom. Immediately press a chocolate kiss in the center of each cookie.
Aaron Hutcherson
Cool and store:
Let the cookies cool for a couple of minutes on the baking sheet before transferring to a rack to finish cooling completely. These cookies will keep for a few days stored in an airtight container at room temperature.
Aaron Hutcherson;","153
Calories,8g
Fat,19g
Carbs,3g
Protein,"
316,How to Make Creamy Sunflower Seed Butter,"Want a creamy, nutty butter that's also allergy-friendly? Sunflower seed butter is the answer. Use it in place of peanut butter in most recipes!",https://www.simplyrecipes.com/recipes/how_to_make_creamy_sunflower_seed_butter/,,"Toast the seeds:
Preheat the oven to 350°F and spread the sunflower seeds on a large, rimmed baking sheet. Toast the seeds until they’re lightly golden and begin to smell nutty and fragrant, 10 to 12 minutes. Watch and stir the seeds every 5 minutes or so to prevent burning.
Megan Gordon
Process seeds into powder:
Once the seeds are toasted, transfer them to the bowl of a food processor and process on continuously until they form a fine powder, about 30 seconds.
Megan Gordon
Process until clumpy:
Continue processing until the powder becomes clumpy, an additional 30 seconds to 1 minute.
Megan Gordon
Process until mixture forms a ball:
Continue processing mixture for 2 to 3 additional minutes, or until it starts gathering together into a large clump or ball.
If your machine starts getting hot, simply pause the process for a minute or so to let it cool down and proceed.
Megan Gordon
Continue to process until mixture forms a smooth butter:
I know, I know: more time in the food processor. You’re almost there! Continue processing for an additional 2 minutes or so, until the seed butter reaches a smooth, paste-like consistency.
Megan Gordon
Megan Gordon
Sweeten and add flavorings:
Now that the seed butter is smooth, add the salt, cinnamon, coconut oil and vanilla extract and process for an additional 1 to 2 minutes, or until it becomes super smooth and spoonable.
Storing your butter:
Store in an airtight container on the counter for up to 2 weeks, in the refrigerator for up to 6 weeks, or in the freezer for up to 3 months.
Megan Gordon;",
317,Apple Butter,"Learn how to make apple butter and fill your house with the aroma of cooking apples, cinnamon, allspice, and cloves. Our apple butter recipe is great on toast or spooned into oatmeal!",https://www.simplyrecipes.com/recipes/apple_butter/,"4 pounds good cooking apples (we use Granny Smith or Gravenstein),1 cup apple cider vinegar,2 cups water,Sugar (about 4 cups, see cooking instructions),2 teaspoons cinnamon,1/2 teaspoon ground cloves,1/2 teaspoon allspice,1 tablespoon lemon zest,3 tablespoons lemon juice,Pinch kosher salt,","Quarter the apples:
Cut the apples into quarters without peeling or coring them. Much of the pectin is in the cores and flavor in the peels. Cut out damaged parts.
Simply Recipes / Ciara Kehoe
Cook the apples:
Put the quartered apples into large pot, add the vinegar and water, cover, bring to a boil, reduce heat to simmer, cook until apples are soft, about 20 minutes. Remove from heat.
Simply Recipes / Ciara Kehoe
Push the apples through a food mill:
Ladle apple mixture (cooked apples and liquid) into a chinois sieve (or food mill) and using a pestle force pulp from the chinois into a large bowl below.
Simply Recipes / Ciara Kehoe
Simply Recipes / Ciara Kehoe
Add sugar, spices, lemon zest, and juice:
Measure resulting apple pulp. Add 1/3 to 1/2 cup of sugar for each cup of apple pulp. Stir to dissolve sugar. Add cinnamon, ground cloves, allspice, lemon zest, lemon juice, and a pinch of salt. Taste and adjust seasonings if necessary.
Simply Recipes / Ciara Kehoe
Cook the apple mixture and stir often:
Cook the apple sugar mixture uncovered in a large, wide, thick-bottomed pot on medium low heat, stirring often to prevent burning. Scrape the bottom of the pot while you stir to make sure a crust is not forming at the bottom.
Cook until thick, smooth, and dark brown in color (about 1 to 2 hours). A small bit spooned onto a chilled (in the freezer) plate will be thick, not runny.
You can also cook the puree on low heat, stirring only occasionally, but this will take much longer as stirring encourages evaporation. (Note the wider the pan the better, as there is more surface for evaporation.)
If you went with the lower amount of sugar, taste the apple butter and add a little more sugar if you think it needs it.
Simply Recipes / Ciara Kehoe
Simply Recipes / Ciara Kehoe
Simple Tip!
Try giving this apple butter a day two to age before you enjoy it. On the day it's made, it can taste quite sharp. After a few days, it mellows out and the flavors meld.
How To Can the Apple Butter
Prep the canning jars:
Midway through cooking the apple butter down, place a steamer rack in a large stockpot, and place 6 to 8 (8-ounce) canning jars on the rack. Fill the jars and the pot with water up to the rim of the jars.
Bring to a boil and reduce to a simmer.
Wash the lids in hot, soapy water.
Simple Tip!
Because the jars will be processed in a water bath for 10 minutes, you do not need to sterilize the jars. They do, however, need to be warm.
Pour the apple butter into hot jars and seal:
Remove the jars from the water bath using jar lifters. Fill the hot jars with the hot apple butter, leaving 1/4 inch headspace. Screw on the lids so they are fingertip tight.
Lower the jars into the boiling water bath. If needed, add enough water to cover the tops of the jars with at least 1 inch of water. When the water returns to a boil, process in the water bath for 10 minutes.
Remove the jars from the water bath and set on a clean dishtowel. As the jars cool, you should hear the lids ""popping"" as they seal the jars.
Did you love this recipe? Give us some stars below!
Simply Recipes / Ciara Kehoe;","44
Calories,0g
Fat,11g
Carbs,0g
Protein,"
318,No Bake Chocolate and Peanut Butter Cookies,"Chocolate Peanut Butter No Bake Cookies! Such a great after-school (or work!) snack. They're made with cocoa powder, peanut butter, oats, sugar, butter, and milk. Drizzle with extra peanut butter to make these peanut butter no bake cookies extra special!",https://www.simplyrecipes.com/recipes/chocolate_and_peanut_butter_no_bake_cookies/,,"Line a baking sheet with parchment and set to the side
Make and mix the cookie base:
In a medium saucepan over medium heat, combine the sugar, butter, milk, and cocoa powder. Cook until the sugar and butter are melted, stirring to combine.
Bring the mixture to a boil, and then continue to boil for 1 minute.
Pour the mixture into a large mixing bowl and stir in the peanut butter, vanilla, and salt. Stir in the rolled oats.
Cindy Rahe
Cindy Rahe
Cindy Rahe
Scoop the cookies:
Using a medium cookie scoop, scoop and place the cookie dough on the lined parchment baking sheet. If you don’t have a cookie scoop, use a tablespoon measure and scoop well-mounded tablespoons of dough for each cookie.
You can either leave them the shape of the scoop or shape them by gently rolling and flattening between your palms.
Cindy Rahe
Make the peanut butter drizzle (optional):
If you'd like to add the peanut butter drizzle, melt the peanut butter and coconut oil together in the microwave for 30 seconds. Stir to combine, then drizzle over the cookies using a spoon.
Skip this drizzle if you're planning to pack up the cookies for eating on the go; the drizzle softens a little when the cookies are at room temperature, which can make them a little messy when eating on the go.
Cindy Rahe
Refrigerate for 20 minutes to firm up the cookies and set the drizzle:
Transfer to an airtight container.
Cookies will keep for about a week at room temperature, or a month if refrigerated. If you added the peanut butter drizzle, keep refrigerated so the drizzle stays firm.
Cindy Rahe;",
319,How to Make Brown Butter,Take your recipes up a notch with the nutty aroma of browned butter. It's easy!,https://www.simplyrecipes.com/recipes/how_to_brown_butter/,"1 stick (8 tablespoons, 113g) unsalted butter,","Melt the butter:
Heat a thick-bottomed skillet on medium heat. Add the butter (if you slice it, it will melt more evenly) whisking frequently. Continue to cook the butter.
Simply Recipes / Cambrea Bakes
Simply Recipes / Cambrea Bakes
Watch for brown specs and nutty aroma:
Once melted the butter will foam up a bit, then subside. Watch carefully as lightly browned specks begin to form at the bottom of the pan. Smell the butter; it should have a nutty aroma.
Simply Recipes / Cambrea Bakes
Simply Recipes / Cambrea Bakes
Simply Recipes / Cambrea Bakes
Remove from the heat:
Pour into a bowl to stop the butter from cooking further and perhaps burning.
It's pretty easy to overcook browned butter and go from brown to burnt. If the butter starts to blacken, I suggest dumping it and starting over (something I've had to do on occasion), unless you want beurre noir which has a different taste than nutty brown butter.
Use browned butter immediately or store covered in the refrigerator for future use.
Simple Tip!
If you want to make sage brown butter sauce, add some fresh sage leaves to the butter once it has melted. Allow the butter to brown and remove from the heat.
Simply Recipes / Cambrea Bakes;","101
Calories,11g
Fat,0g
Carbs,0g
Protein,"
320,"Nut-Free ""Peanut Butter"" Chocolate Chip Cookies","Looking for an allergy-friendly cookie recipe? Look no further than these nut-free ""peanut butter"" cookies! They're made with sunflower butter and other allergy-friendly ingredients so everyone can enjoy.",https://www.simplyrecipes.com/recipes/nut_free_peanut_butter_chocolate_chip_cookies/,,"Prepare the flax ""egg"":
Combine the flax meal with 2 1/2 tablespoons of water in a small bowl. Let stand for 7 to 10 minutes to thicken. This will be used as an egg replacer in this recipe.
Combine the oil and sugars:
In the bowl of a stand mixer fitted with the paddle attachment (or using electric hand beaters), beat the coconut oil, brown sugar, and sugar until smooth and combined.
The mixture will be a little grainy and will flatten to cover the bottom of the bowl in a uniform layer; it won’t be light and creamy like more traditional cookie batters. Scrape down the sides of the bowl a few times and continue mixing until the sugar is well incorporated.
Add the sunflower butter, flax egg and vanilla:
and beat until combined. Use a rubber spatula to scrape down the sides as needed. Beat for 1 to 2 minutes—it’ll start to soften and look much more creamy at this point.
Whisk together the dry ingredients:
In a small, separate mixing bowl, whisk together the flour, baking soda, cornstarch, and salt.
Beat in the dry ingredients:
Slowly add the dry ingredients into the mixing bowl and beat on medium until smooth. Scrape down the sides of the bowl as needed. The dough will look like large pebbles at first, but keep beating and it will eventually become smooth and more uniform in about 2 minutes.
Turn off the mixer and knead the dough a few times with your hands to ensure all the dry bits come up from the bottom of the bowl and are incorporated.
Work in the chocolate chips:
Incorporate chocolate chips with your hands by kneading and mixing them gently into the dough.
This dough isn’t sticky and creamy like some traditional cookie doughs, so hand-mixing like this is the best method to incorporate the chips. Don’t worry if a few chips are loose; they’ll make their way into the cookies when you scoop out the dough.
Chill the dough:
Cover the mixing bowl with plastic wrap and chill in the refrigerator for 30 minutes, or up to overnight.
Preheat the oven and prepare the pan:
Preheat the oven to 350°F. Line a large baking sheet with parchment paper.
Warm the dough slightly:
After chilling, remove the dough from the refrigerator and let it sit at room temperature for 10 minutes. Because the dough is a bit crumbly, letting it sit out on the counter before forming it into balls will help ensure you have nice, smooth cookie dough balls to work with versus ones that may crack a bit if they’re too cool.
Roll into cookies:
Using 2 heaping tablespoons (about 45g) of dough per cookie, roll the dough in between your hands until it forms a ball. It doesn’t need to be perfect—if the dough crumbles a little, just press it back together.
Place each ball on a parchment-lined baking sheet spaced about 1 1/2 inches apart (they'll spread a bit). Using the palm of your hand, flatten each cookie slightly to about 1/2-inch thickness. If the cookies start to crack or break as you flatten them, just use your hands to form them back together.
Bake cookies:
Bake for 9 to 11 minutes, or until the edges just begin to turn golden brown. The cookies will still feel soft but will firm up as they cool.
Cool and serve:
Allow to cool on the baking sheet for 5 minutes. Transfer to a wire rack to cool completely.
Store leftovers:
Keep the cookies covered at room temperature for up to 5 days. Freeze in an airtight freezer bag or container for up to 3 months.;",
321,Brown Butter Chocolate Chunk Cookies,"These chocolate chunk cookies are made using brown butter and chunks of milk chocolate. Browning the butter is an extra step, but so worth it for these decadent chocolate chunk cookies!",https://www.simplyrecipes.com/recipes/chocolate_chunk_cookies/,"1 cup (8 ounces, 225g) unsalted butter,2 1/2 cups all-purpose flour,1 teaspoon salt,1 teaspoon baking soda,1/2 teaspoon cinnamon,1 cup brown sugar, packed,1/2 cup white sugar,2 large eggs,1 teaspoon vanilla extract,9 ounces milk chocolate bars (semisweet or dark), roughly chopped into chunks (about 2 cups),1 cup chopped walnuts or pecans, optional,","Preheat oven to 350°F
Brown the butter:
Melt the butter in a medium sized, thick-bottomed, stainless steel saucepan (use stainless steel so you can tell when the butter has browned) on medium heat.
Elise Bauer
Elise Bauer
Continue to cook while the butter goes through various stages of bubbling up and releasing its moisture. Whisk frequently over several minutes.
Elise Bauer
Elise Bauer
When you start to smell the nutty aroma of the butter browning, and you can whisk aside some of the foam to see small browned bits at the bottom of the pan, remove from heat and pour off into a bowl. Do not dawdle at this point as it is easy for the butter to go from browned to burnt.
Elise Bauer
Elise Bauer
Whisk together dry ingredients:
Place the flour, salt, baking soda, and cinnamon in a bowl and vigorously whisk together.
Elise Bauer
Beat brown butter and sugars, then add eggs and vanilla:
Pour browned butter into the bowl of a stand-up mixer (if you don't have a mixer, you can just beat by hand). Add the sugars and beat until smooth. Add the eggs, beating after each addition. Add the vanilla extract and beat for 3 more minutes.
Elise Bauer
Elise Bauer
Add flour mixture to wet ingredients, then stir in chocolate chunks:
Stir the flour mixture into the butter sugar mixture a third at a time. Stir in the chocolate chunks and the nuts (if using).
Up to this point you can make ahead a day or two and store the cookie dough in the refrigerator until ready to cook.
Elise Bauer
Elise Bauer
Spoon out cookie dough to lined baking sheet:
Line cookie sheets with Silpat or parchment paper (or just lightly butter) rimmed cookie sheets.
Spoon out heaping tablespoon hunks of batter onto the cookie sheets, separated by at least 2 inches, allowing room for the cookies to spread as they cook. You may need to work in batches.
Elise Bauer
Elise Bauer
Bake at 350°F for about 12 minutes:
the edges of the cookies should be just a little browned. Remove from the oven, let cool on the cookie sheet for 5 minutes. Then remove the cookies to cool completely on a rack.
Elise Bauer
Elise Bauer
Links:
Salted Brown Butter Cookies from This Week for Dinner
Brown Butter Oatmeal Chunk Cookies from How Sweet Eats;","149
Calories,8g
Fat,19g
Carbs,2g
Protein,"
322,Peanut Butter Buckeyes,"Chocolate-coated peanut butter buckeyes are a Midwestern delight. Dip them all the way to make peanut butter balls. Essential for any cookie tray, this buckeye candy recipe is always a hit.",https://www.simplyrecipes.com/recipes/peanut_butter_buckeyes/,"1 1/2 cups (390g) smooth peanut butter (not ""natural""),1/2 cup (115g) unsalted butter, melted,1 teaspoon vanilla extract,3/4 teaspoon kosher salt,3 1/2 cups (400g) powdered sugar,3 cups (525g) semisweet chocolate chips,","Make the peanut butter filling:
Place the peanut butter, melted butter, vanilla and salt in a large bowl and stir until well blended. Sift 2 cups of powdered sugar into the bowl using a fine-mesh strainer and stir until the sugar is absorbed. Sift the remaining powdered sugar and mix in and a smooth stiff paste forms.
Irvin Lin
Irvin Lin
Irvin Lin
Irvin Lin
Shape the filling into balls:
Scoop up a small portion of dough (a small cookie scoop is great for this!). Form 1-inch balls by rolling them between your palms.
Place on a rimmed baking pan lined with a piece of parchment paper. Repeat until all the peanut butter filling is gone.
Skewer each ball with a toothpick; you'll use this to dip the balls in chocolate later. It's best to do this now because the balls might be too hard later.
Irvin Lin
Chill:
Chill for at least 1 hour or overnight in the refrigerator so the balls become firm enough to dip
Melt the chocolate for the coating:
Once the peanut butter balls have chilled, place the chocolate chips in a microwave safe bowl and microwave in 30 second increments on high power, stirring between each cook cycle, until the chocolate has melted and is smooth.
How to Melt Chocolate Chips
READ MORE:
Irvin Lin
Irvin Lin
Dip the peanut butter balls in the melted chocolate:
Holding the peanut butter balls by the toothpick, dip it in the melted chocolate until 3/4 of the ball is covered in chocolate. Leave the top of the ball uncovered so you can see a little of the peanut butter. Place back on the baking sheet and repeat with the remaining balls.
Irvin Lin
Chill the buckeye balls:
Refrigerate for at least 1 hour or overnight for the chocolate to solidify. Once the chocolate is solid, wet your finger and smooth over the hole the toothpick has formed with your finger.
Store buckeyes in an airtight container in the refrigerator until ready to eat:
Buckeyes can be kept in an airtight container in the fridge for several weeks, or (wrapped tightly) in the freezer for several months.;","150
Calories,9g
Fat,17g
Carbs,2g
Protein,"
323,Peanut Butter Pretzel Magic Bars,"These Peanut Butter Pretzel Magic Bars are a MUST for your next party! Think: Super Bowl, office party, or birthday. They have a pretzel crust with layers of peanut butter, chocolate, coconut, and sweetened condensed milk topped with more pretzels.",https://www.simplyrecipes.com/recipes/peanut_butter_pretzel_magic_bars/,,"Prep pan:
Preheat the oven to 350°F. Line an 8x8-inch square baking pan with foil, allowing a couple inches to overhang down the side of the pan. Generously, coat with cooking spray or brush with melted butter. Set aside. If using a glass baking dish, lower the oven temperature to 325°F.
Warm the peanut butter:
Pour 1/4 cup of sweetened condensed milk into a small bowl and set aside. In another small bowl, add the peanut butter and remaining condensed milk. When combined you should have about 1 1/4 cups. Microwave for 30 seconds. Stir the mixture until smooth. Set aside to cool.
Cindy Rahe
Cindy Rahe
Make the crust:
In the bowl of a food processor, add 3 cups whole pretzels and process for 15 seconds until the largest pieces are the size of small peas. Measure out 1 1/4 cups (120 g) pretzel crumbs and return them to the food processor bowl. (If you have extra crumbs save them to sprinkle on ice cream!)
Add the sugar and melted butter and process continuously for 20 seconds. The mixture will look like wet sand.
Pour the pretzel mixture into the prepared pan. Use a measuring cup or glass to press the mixture firmly into an even layer in the bottom of the pan.
Cindy Rahe
Cindy Rahe
Bake the crust:
Bake the crust until it feels firm to the touch and is slightly golden around the edges, about 10 minutes.
Assemble the first layer:
Stir the peanut butter and condensed mixture again, then pour 3/4 cup of the peanut butter mixture over the baked crust. Use a towel, or oven mitts to gently tilt the pan from corner to corner so the peanut butter mixture completely covers the crust. Top with half of the shredded coconut, half of the peanut butter chips, and half of the chocolate chips.
Cindy Rahe
Cindy Rahe
Finish assembling:
Pour remaining 1/2 cup peanut butter and condensed milk mixture over the entire layer. Top with remaining shredded coconut, peanut butter and chocolate chips. Arrange whole pretzels on top and use your hands to gently press the bars down to ensure the layers are compact. Drizzle with the reserved condensed milk.
Cindy Rahe
Cindy Rahe
Bake the bars:
Bake on the center rack of the oven for 30-35 minutes until the edges are turning golden and the center is just starting to take on color. The center might be a little soft but the bars will firm up as it cools.
Cindy Rahe
Cool:
Remove the bars from the oven and cool on a cooling rack for 1 1/2 hours. Take out of the pan and remove foil. Continue cooling on rack for an additional 1 hour. Once bars reach room temperature, wrap in plastic wrap and chill in refrigerator for 2 hours or overnight. This will ensure that the bars slice cleanly with the least amount of crumbling. You can cut them once they’ve cooled to room temp, but the crust may crumble.
Serve and store:
Once the bars are chilled, slice into 16 squares and serve. Store leftover magic bars in an air-tight container in the refrigerator for 7 days or at room temperature for 5 days.;",
324,Indian Butter Chicken,Butter Chicken simmers in a buttery tomato sauce and is punctuated by several special spices and herbs. Skip the Indian takeout and cook up your very own version of the popular dish!,https://www.simplyrecipes.com/recipes/indian_butter_chicken/,"1 pound boneless, skinless chicken thighs, cut into roughly 1-inch cubes,1/4 cup full-fat plain yogurt,1 tablespoon olive oil,1 tablespoon ginger garlic paste,1 teaspoon ground coriander seed,1 teaspoon Kashmiri Lal Mirch,1 teaspoon cumin,Salt to taste,8 to 10 whole almonds,8 to 10 whole cashews,2 tablespoons unsalted butter, divided,1 tablespoon ginger garlic paste,1 teaspoon sugar,1 (15-ounce) can diced tomatoes,2 tablespoons dried coriander seed,1 1/2 teaspoons ground garam masala,1/2 teaspoon ground Kashmiri Lal Mirch,1/2 teaspoon salt,1 cup water,1/4 cup heavy cream,1/2 tablespoon Kasuri Methi,Cooked rice, roti, or naan bread,","Marinate the chicken:
Bring the chicken and the rest of the marinade ingredients together in a large bowl. Using your hands, massage the marinade into the chicken.
Cover with plastic wrap and refrigerate for at least 1 hour, or up to overnight.
Prerna Singh
Prerna Singh
Soak cashews and almonds:
Soak cashews and almonds in water for at least an hour to (or up to overnight) before preparing the rest of the recipe.
Cook the chicken:
Heat a skillet or grill pan over medium-high heat. Drizzle a teaspoon of oil to the pan.
Working in batches, remove chicken from the marinade and grill them on the pan for 3 to 5 minutes on each side, until the chicken is cooked through (clear juice runs out of it when you cut into it). Do not crowd the pan.
What's the Temperature of Cooked Chicken?
READ MORE:
Once cooked, transfer the chicken into a separate dish. Cover and set aside for later.
Prerna Singh
Start making the sauce:
Melt 1 1/2 tablespoons of the butter in a medium sized Dutch oven or a skillet on medium low heat. As soon as the butter melts, add the ginger garlic paste followed by sugar. Sauté for 1 to 2 minutes.
Stir in the tomato and cook for 8 to 10 minutes on medium high heat, until all the extra liquid is cooked off. The sauce should be a loose, paste-like consistency.
Add coriander, garam masala, Kashmiri Lal Mirch, and salt. Stir and cook on medium heat for 2 to 3 minutes. Turn off the heat.
Prerna Singh
Prerna Singh
Prerna Singh
Puree the sauce with the nuts:
Transfer the paste to a blender or the bowl of a food processor. Add the soaked cashews and almonds. Blend into a smooth paste.
Prerna Singh
Finish the dish:
Return the paste to the cooking pan over medium heat. Add the water to the paste and stir to make a smooth sauce.
As the sauce begins to boil, add the grilled chicken and heavy cream. Stir well. Cover the pan and simmer for 5 minutes.
Prerna Singh
Prerna Singh
Rest the butter chicken:
Turn off the heat and uncover the pan. Stir in the remaining 1/2 tablespoon butter and the kasuri methi. Cover again, and let the dish rest for 8 to 10 minutes so the flavor of kasuri methi can marry into the butter chicken.
Serve:
Serve the butter with a side of steamed basmati rice, roti, or naan. Leftovers will keep refrigerated, covered, for five days.
You can freeze this dish in an airtight covered container or a zip-top bag for a month. Thaw and reheat in a saucepan over medium-low heat to retain the texture.;","439
Calories,31g
Fat,12g
Carbs,32g
Protein,"
325,Peanut Butter Pie,"Peanut butter lovers, this one's for you! It's the most decadent and indulgent peanut butter pie EVER, made with extra peanut butter in the filling, peanut butter cups on top, and a drizzle of melted peanut butter and chocolate. We warned you!",https://www.simplyrecipes.com/recipes/peanut_butter_pie/,,"Preheat the oven to 350°F.
Make the crust:
Place the cookies in the bowl of a food processor and pulse until they become crumbs. Pulse in the salted butter, sugar, and salt until combined and the mixture feels like wet sand and clumps when pressed together.
Cindy Rahe
Cindy Rahe
Bake the crust:
Spread the crumbs into a 9-inch pie dish and press firmly into the bottom and sides of the pan. (Depending on the depth of your pan you may need fewer crumbs; just remove a few tablespoons if it feels like too much and proceed.)
Bake the crust in the preheated oven for 10 to 15 minutes, or it is dry to the touch and feels firm. Remove from the oven and cool completely on a rack before filling.
Cindy Rahe
Make the filling:
Beat 1 cup of the whipping cream to a stiff peak—you can use a hand mixer or a stand mixer for this. Scrape the whipped cream into another bowl and set aside.
In the same mixing bowl that you beat the cream, beat the cream cheese and 1/2 cup of powdered sugar together until creamy and combined. Add the peanut butter and beat until smooth and creamy.
The mixture may not look totally emulsified at this point, but it will smooth out once you fold in the whipped cream. Stir 1/3 of the whipped cream into the peanut butter to lighten the mixture. Fold in the remaining 2/3, in two batches.
Cindy Rahe
Cindy Rahe
Cindy Rahe
Cindy Rahe
Fill and chill the pie
Spread the filling into the baked and cooled crust. Cover with plastic wrap and refrigerate for at least 4 hours or up to 2 days.
Cindy Rahe
Assemble the toppings
When ready to serve, whip 1 cup of cream with 2 tablespoons of powdered sugar to a medium-soft peak. (Double this amount if you want tall swoops of cream on the pie.)
Chop up the peanut butter cups.
Place the chocolate chips and peanut butter in separate microwave-safe bowls and stir a teaspoon of oil into each. Melt in the microwave in 30 second bursts, and stir until smooth.
How to Melt Chocolate Chips
READ MORE:
Assemble and serve
Dollop the whipped cream on top of the pie and smooth it into a thick layer. Drizzle with melted chocolate and peanut butter, and sprinkle with chopped peanut butter cups.
Once topped with whipped cream, serve immediately. Leftovers keep for 4 days in the fridge, although the topping may deflate and weep a little.
Cindy Rahe;",
326,Peanut Butter Cookies,"These are the best peanut butter cookies ever! Use your favorite name-brand peanut butter and a combination of white and brown sugar for a chewy, sweet treat.",https://www.simplyrecipes.com/recipes/peanut_butter_cookies/,"1/2 cup (112g) butter, unsalted or salted, room temperature,1/2 cup (100g) granulated sugar,1/2 cup (110g) packed brown sugar, light or dark,1/2 cup (130g) peanut butter,1 large egg,1 1/4 cups (160g) all-purpose flour,3/4 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon kosher salt (omit if using salted butter),","Make the cookie dough:
Beat the butter until creamy, 2 minutes. Add the brown sugar and white sugar, beat for 2 more minutes. Mix in the peanut butter and the egg.
In a separate bowl, vigorously whisk together the dry ingredients—the flour, baking soda, baking powder and salt. Stir the dry ingredients into the sugar butter mixture.
Michelle Becker
Chill the dough:
Wrap dough in plastic and refrigerate at least 3 hours.
Michelle Becker
Preheat the oven:
Preheat the oven to 375°F (190°C).
Shape the cookies:
Shape the dough into 1 1/4 inch balls. Place the balls of dough about 3 inches apart on ungreased cookie sheets (unlined sheets are fine, though you can use parchment paper to line them, if you like). Flatten in a crisscross pattern with a fork. (It helps to dip the fork in sugar to keep it from sticking to the dough.)
Michelle Becker
Michelle Becker
Bake the cookies:
Bake at 375°F (190°C) until light brown, about 9 to 10 minutes. Remove the cookies from the oven and let cool in their baking sheets for a minute. After 1 minute, transfer the cookies to a rack to cool completely.
Note: For chewier cookies, bake at 300°F (150°C) for 15 minutes.
Michelle Becker;","126
Calories,7g
Fat,15g
Carbs,2g
Protein,"
